"UNISTR_CHR","UNISTR_TXT","HTML_ENTITY","NOTES"
"\D800\DC00","\D800\DC00","&#x10000;","LINEAR B SYLLABLE B008 A"
"\D800\DC01","\D800\DC01","&#x10001;","LINEAR B SYLLABLE B038 E"
"\D800\DC02","\D800\DC02","&#x10002;","LINEAR B SYLLABLE B028 I"
"\D800\DC03","\D800\DC03","&#x10003;","LINEAR B SYLLABLE B061 O"
"\D800\DC04","\D800\DC04","&#x10004;","LINEAR B SYLLABLE B010 U"
"\D800\DC05","\D800\DC05","&#x10005;","LINEAR B SYLLABLE B001 DA"
"\D800\DC06","\D800\DC06","&#x10006;","LINEAR B SYLLABLE B045 DE"
"\D800\DC07","\D800\DC07","&#x10007;","LINEAR B SYLLABLE B007 DI"
"\D800\DC08","\D800\DC08","&#x10008;","LINEAR B SYLLABLE B014 DO"
"\D800\DC09","\D800\DC09","&#x10009;","LINEAR B SYLLABLE B051 DU"
"\D800\DC0A","\D800\DC0A","&#x1000a;","LINEAR B SYLLABLE B057 JA"
"\D800\DC0B","\D800\DC0B","&#x1000b;","LINEAR B SYLLABLE B046 JE"
"\D800\DC0D","\D800\DC0D","&#x1000d;","LINEAR B SYLLABLE B036 JO"
"\D800\DC0E","\D800\DC0E","&#x1000e;","LINEAR B SYLLABLE B065 JU"
"\D800\DC0F","\D800\DC0F","&#x1000f;","LINEAR B SYLLABLE B077 KA"
"\D800\DC10","\D800\DC10","&#x10010;","LINEAR B SYLLABLE B044 KE"
"\D800\DC11","\D800\DC11","&#x10011;","LINEAR B SYLLABLE B067 KI"
"\D800\DC12","\D800\DC12","&#x10012;","LINEAR B SYLLABLE B070 KO"
"\D800\DC13","\D800\DC13","&#x10013;","LINEAR B SYLLABLE B081 KU"
"\D800\DC14","\D800\DC14","&#x10014;","LINEAR B SYLLABLE B080 MA"
"\D800\DC15","\D800\DC15","&#x10015;","LINEAR B SYLLABLE B013 ME"
"\D800\DC16","\D800\DC16","&#x10016;","LINEAR B SYLLABLE B073 MI"
"\D800\DC17","\D800\DC17","&#x10017;","LINEAR B SYLLABLE B015 MO"
"\D800\DC18","\D800\DC18","&#x10018;","LINEAR B SYLLABLE B023 MU"
"\D800\DC19","\D800\DC19","&#x10019;","LINEAR B SYLLABLE B006 NA"
"\D800\DC1A","\D800\DC1A","&#x1001a;","LINEAR B SYLLABLE B024 NE"
"\D800\DC1B","\D800\DC1B","&#x1001b;","LINEAR B SYLLABLE B030 NI"
"\D800\DC1C","\D800\DC1C","&#x1001c;","LINEAR B SYLLABLE B052 NO"
"\D800\DC1D","\D800\DC1D","&#x1001d;","LINEAR B SYLLABLE B055 NU"
"\D800\DC1E","\D800\DC1E","&#x1001e;","LINEAR B SYLLABLE B003 PA"
"\D800\DC1F","\D800\DC1F","&#x1001f;","LINEAR B SYLLABLE B072 PE"
"\D800\DC20","\D800\DC20","&#x10020;","LINEAR B SYLLABLE B039 PI"
"\D800\DC21","\D800\DC21","&#x10021;","LINEAR B SYLLABLE B011 PO"
"\D800\DC22","\D800\DC22","&#x10022;","LINEAR B SYLLABLE B050 PU"
"\D800\DC23","\D800\DC23","&#x10023;","LINEAR B SYLLABLE B016 QA"
"\D800\DC24","\D800\DC24","&#x10024;","LINEAR B SYLLABLE B078 QE"
"\D800\DC25","\D800\DC25","&#x10025;","LINEAR B SYLLABLE B021 QI"
"\D800\DC26","\D800\DC26","&#x10026;","LINEAR B SYLLABLE B032 QO"
"\D800\DC28","\D800\DC28","&#x10028;","LINEAR B SYLLABLE B060 RA"
"\D800\DC29","\D800\DC29","&#x10029;","LINEAR B SYLLABLE B027 RE"
"\D800\DC2A","\D800\DC2A","&#x1002a;","LINEAR B SYLLABLE B053 RI"
"\D800\DC2B","\D800\DC2B","&#x1002b;","LINEAR B SYLLABLE B002 RO"
"\D800\DC2C","\D800\DC2C","&#x1002c;","LINEAR B SYLLABLE B026 RU"
"\D800\DC2D","\D800\DC2D","&#x1002d;","LINEAR B SYLLABLE B031 SA"
"\D800\DC2E","\D800\DC2E","&#x1002e;","LINEAR B SYLLABLE B009 SE"
"\D800\DC2F","\D800\DC2F","&#x1002f;","LINEAR B SYLLABLE B041 SI"
"\D800\DC30","\D800\DC30","&#x10030;","LINEAR B SYLLABLE B012 SO"
"\D800\DC31","\D800\DC31","&#x10031;","LINEAR B SYLLABLE B058 SU"
"\D800\DC32","\D800\DC32","&#x10032;","LINEAR B SYLLABLE B059 TA"
"\D800\DC33","\D800\DC33","&#x10033;","LINEAR B SYLLABLE B004 TE"
"\D800\DC34","\D800\DC34","&#x10034;","LINEAR B SYLLABLE B037 TI"
"\D800\DC35","\D800\DC35","&#x10035;","LINEAR B SYLLABLE B005 TO"
"\D800\DC36","\D800\DC36","&#x10036;","LINEAR B SYLLABLE B069 TU"
"\D800\DC37","\D800\DC37","&#x10037;","LINEAR B SYLLABLE B054 WA"
"\D800\DC38","\D800\DC38","&#x10038;","LINEAR B SYLLABLE B075 WE"
"\D800\DC39","\D800\DC39","&#x10039;","LINEAR B SYLLABLE B040 WI"
"\D800\DC3A","\D800\DC3A","&#x1003a;","LINEAR B SYLLABLE B042 WO"
"\D800\DC3C","\D800\DC3C","&#x1003c;","LINEAR B SYLLABLE B017 ZA"
"\D800\DC3D","\D800\DC3D","&#x1003d;","LINEAR B SYLLABLE B074 ZE"
"\D800\DC3F","\D800\DC3F","&#x1003f;","LINEAR B SYLLABLE B020 ZO"
"\D800\DC40","\D800\DC40","&#x10040;","LINEAR B SYLLABLE B025 A2"
"\D800\DC41","\D800\DC41","&#x10041;","LINEAR B SYLLABLE B043 A3"
"\D800\DC42","\D800\DC42","&#x10042;","LINEAR B SYLLABLE B085 AU"
"\D800\DC43","\D800\DC43","&#x10043;","LINEAR B SYLLABLE B071 DWE"
"\D800\DC44","\D800\DC44","&#x10044;","LINEAR B SYLLABLE B090 DWO"
"\D800\DC45","\D800\DC45","&#x10045;","LINEAR B SYLLABLE B048 NWA"
"\D800\DC46","\D800\DC46","&#x10046;","LINEAR B SYLLABLE B029 PU2"
"\D800\DC47","\D800\DC47","&#x10047;","LINEAR B SYLLABLE B062 PTE"
"\D800\DC48","\D800\DC48","&#x10048;","LINEAR B SYLLABLE B076 RA2"
"\D800\DC49","\D800\DC49","&#x10049;","LINEAR B SYLLABLE B033 RA3"
"\D800\DC4A","\D800\DC4A","&#x1004a;","LINEAR B SYLLABLE B068 RO2"
"\D800\DC4B","\D800\DC4B","&#x1004b;","LINEAR B SYLLABLE B066 TA2"
"\D800\DC4C","\D800\DC4C","&#x1004c;","LINEAR B SYLLABLE B087 TWE"
"\D800\DC4D","\D800\DC4D","&#x1004d;","LINEAR B SYLLABLE B091 TWO"
"\D800\DC50","\D800\DC50","&#x10050;","LINEAR B SYMBOL B018"
"\D800\DC51","\D800\DC51","&#x10051;","LINEAR B SYMBOL B019"
"\D800\DC52","\D800\DC52","&#x10052;","LINEAR B SYMBOL B022"
"\D800\DC53","\D800\DC53","&#x10053;","LINEAR B SYMBOL B034"
"\D800\DC54","\D800\DC54","&#x10054;","LINEAR B SYMBOL B047"
"\D800\DC55","\D800\DC55","&#x10055;","LINEAR B SYMBOL B049"
"\D800\DC56","\D800\DC56","&#x10056;","LINEAR B SYMBOL B056"
"\D800\DC57","\D800\DC57","&#x10057;","LINEAR B SYMBOL B063"
"\D800\DC58","\D800\DC58","&#x10058;","LINEAR B SYMBOL B064"
"\D800\DC59","\D800\DC59","&#x10059;","LINEAR B SYMBOL B079"
"\D800\DC5A","\D800\DC5A","&#x1005a;","LINEAR B SYMBOL B082"
"\D800\DC5B","\D800\DC5B","&#x1005b;","LINEAR B SYMBOL B083"
"\D800\DC5C","\D800\DC5C","&#x1005c;","LINEAR B SYMBOL B086"
"\D800\DC5D","\D800\DC5D","&#x1005d;","LINEAR B SYMBOL B089"
"\D800\DC80","\D800\DC80","&#x10080;","LINEAR B IDEOGRAM B100 MAN"
"\D800\DC81","\D800\DC81","&#x10081;","LINEAR B IDEOGRAM B102 WOMAN"
"\D800\DC82","\D800\DC82","&#x10082;","LINEAR B IDEOGRAM B104 DEER"
"\D800\DC83","\D800\DC83","&#x10083;","LINEAR B IDEOGRAM B105 EQUID"
"\D800\DC84","\D800\DC84","&#x10084;","LINEAR B IDEOGRAM B105F MARE"
"\D800\DC85","\D800\DC85","&#x10085;","LINEAR B IDEOGRAM B105M STALLION"
"\D800\DC86","\D800\DC86","&#x10086;","LINEAR B IDEOGRAM B106F EWE"
"\D800\DC87","\D800\DC87","&#x10087;","LINEAR B IDEOGRAM B106M RAM"
"\D800\DC88","\D800\DC88","&#x10088;","LINEAR B IDEOGRAM B107F SHE-GOAT"
"\D800\DC89","\D800\DC89","&#x10089;","LINEAR B IDEOGRAM B107M HE-GOAT"
"\D800\DC8A","\D800\DC8A","&#x1008a;","LINEAR B IDEOGRAM B108F SOW"
"\D800\DC8B","\D800\DC8B","&#x1008b;","LINEAR B IDEOGRAM B108M BOAR"
"\D800\DC8C","\D800\DC8C","&#x1008c;","LINEAR B IDEOGRAM B109F COW"
"\D800\DC8D","\D800\DC8D","&#x1008d;","LINEAR B IDEOGRAM B109M BULL"
"\D800\DC8E","\D800\DC8E","&#x1008e;","LINEAR B IDEOGRAM B120 WHEAT"
"\D800\DC8F","\D800\DC8F","&#x1008f;","LINEAR B IDEOGRAM B121 BARLEY"
"\D800\DC90","\D800\DC90","&#x10090;","LINEAR B IDEOGRAM B122 OLIVE"
"\D800\DC91","\D800\DC91","&#x10091;","LINEAR B IDEOGRAM B123 SPICE"
"\D800\DC92","\D800\DC92","&#x10092;","LINEAR B IDEOGRAM B125 CYPERUS"
"\D800\DC93","\D800\DC93","&#x10093;","LINEAR B MONOGRAM B127 KAPO"
"\D800\DC94","\D800\DC94","&#x10094;","LINEAR B MONOGRAM B128 KANAKO"
"\D800\DC95","\D800\DC95","&#x10095;","LINEAR B IDEOGRAM B130 OIL"
"\D800\DC96","\D800\DC96","&#x10096;","LINEAR B IDEOGRAM B131 WINE"
"\D800\DC97","\D800\DC97","&#x10097;","LINEAR B IDEOGRAM B132"
"\D800\DC98","\D800\DC98","&#x10098;","LINEAR B MONOGRAM B133 AREPA"
"\D800\DC99","\D800\DC99","&#x10099;","LINEAR B MONOGRAM B135 MERI"
"\D800\DC9A","\D800\DC9A","&#x1009a;","LINEAR B IDEOGRAM B140 BRONZE"
"\D800\DC9B","\D800\DC9B","&#x1009b;","LINEAR B IDEOGRAM B141 GOLD"
"\D800\DC9C","\D800\DC9C","&#x1009c;","LINEAR B IDEOGRAM B142"
"\D800\DC9D","\D800\DC9D","&#x1009d;","LINEAR B IDEOGRAM B145 WOOL"
"\D800\DC9E","\D800\DC9E","&#x1009e;","LINEAR B IDEOGRAM B146"
"\D800\DC9F","\D800\DC9F","&#x1009f;","LINEAR B IDEOGRAM B150"
"\D800\DCA0","\D800\DCA0","&#x100a0;","LINEAR B IDEOGRAM B151 HORN"
"\D800\DCA1","\D800\DCA1","&#x100a1;","LINEAR B IDEOGRAM B152"
"\D800\DCA2","\D800\DCA2","&#x100a2;","LINEAR B IDEOGRAM B153"
"\D800\DCA3","\D800\DCA3","&#x100a3;","LINEAR B IDEOGRAM B154"
"\D800\DCA4","\D800\DCA4","&#x100a4;","LINEAR B MONOGRAM B156 TURO2"
"\D800\DCA5","\D800\DCA5","&#x100a5;","LINEAR B IDEOGRAM B157"
"\D800\DCA6","\D800\DCA6","&#x100a6;","LINEAR B IDEOGRAM B158"
"\D800\DCA7","\D800\DCA7","&#x100a7;","LINEAR B IDEOGRAM B159 CLOTH"
"\D800\DCA8","\D800\DCA8","&#x100a8;","LINEAR B IDEOGRAM B160"
"\D800\DCA9","\D800\DCA9","&#x100a9;","LINEAR B IDEOGRAM B161"
"\D800\DCAA","\D800\DCAA","&#x100aa;","LINEAR B IDEOGRAM B162 GARMENT"
"\D800\DCAB","\D800\DCAB","&#x100ab;","LINEAR B IDEOGRAM B163 ARMOUR"
"\D800\DCAC","\D800\DCAC","&#x100ac;","LINEAR B IDEOGRAM B164"
"\D800\DCAD","\D800\DCAD","&#x100ad;","LINEAR B IDEOGRAM B165"
"\D800\DCAE","\D800\DCAE","&#x100ae;","LINEAR B IDEOGRAM B166"
"\D800\DCAF","\D800\DCAF","&#x100af;","LINEAR B IDEOGRAM B167"
"\D800\DCB0","\D800\DCB0","&#x100b0;","LINEAR B IDEOGRAM B168"
"\D800\DCB1","\D800\DCB1","&#x100b1;","LINEAR B IDEOGRAM B169"
"\D800\DCB2","\D800\DCB2","&#x100b2;","LINEAR B IDEOGRAM B170"
"\D800\DCB3","\D800\DCB3","&#x100b3;","LINEAR B IDEOGRAM B171"
"\D800\DCB4","\D800\DCB4","&#x100b4;","LINEAR B IDEOGRAM B172"
"\D800\DCB5","\D800\DCB5","&#x100b5;","LINEAR B IDEOGRAM B173 MONTH"
"\D800\DCB6","\D800\DCB6","&#x100b6;","LINEAR B IDEOGRAM B174"
"\D800\DCB7","\D800\DCB7","&#x100b7;","LINEAR B IDEOGRAM B176 TREE"
"\D800\DCB8","\D800\DCB8","&#x100b8;","LINEAR B IDEOGRAM B177"
"\D800\DCB9","\D800\DCB9","&#x100b9;","LINEAR B IDEOGRAM B178"
"\D800\DCBA","\D800\DCBA","&#x100ba;","LINEAR B IDEOGRAM B179"
"\D800\DCBB","\D800\DCBB","&#x100bb;","LINEAR B IDEOGRAM B180"
"\D800\DCBC","\D800\DCBC","&#x100bc;","LINEAR B IDEOGRAM B181"
"\D800\DCBD","\D800\DCBD","&#x100bd;","LINEAR B IDEOGRAM B182"
"\D800\DCBE","\D800\DCBE","&#x100be;","LINEAR B IDEOGRAM B183"
"\D800\DCBF","\D800\DCBF","&#x100bf;","LINEAR B IDEOGRAM B184"
"\D800\DCC0","\D800\DCC0","&#x100c0;","LINEAR B IDEOGRAM B185"
"\D800\DCC1","\D800\DCC1","&#x100c1;","LINEAR B IDEOGRAM B189"
"\D800\DCC2","\D800\DCC2","&#x100c2;","LINEAR B IDEOGRAM B190"
"\D800\DCC3","\D800\DCC3","&#x100c3;","LINEAR B IDEOGRAM B191 HELMET"
"\D800\DCC4","\D800\DCC4","&#x100c4;","LINEAR B IDEOGRAM B220 FOOTSTOOL"
"\D800\DCC5","\D800\DCC5","&#x100c5;","LINEAR B IDEOGRAM B225 BATHTUB"
"\D800\DCC6","\D800\DCC6","&#x100c6;","LINEAR B IDEOGRAM B230 SPEAR"
"\D800\DCC7","\D800\DCC7","&#x100c7;","LINEAR B IDEOGRAM B231 ARROW"
"\D800\DCC8","\D800\DCC8","&#x100c8;","LINEAR B IDEOGRAM B232"
"\D800\DCC9","\D800\DCC9","&#x100c9;","LINEAR B IDEOGRAM B233 SWORD"
"\D800\DCCA","\D800\DCCA","&#x100ca;","LINEAR B IDEOGRAM B234"
"\D800\DCCB","\D800\DCCB","&#x100cb;","LINEAR B IDEOGRAM B236"
"\D800\DCCC","\D800\DCCC","&#x100cc;","LINEAR B IDEOGRAM B240 WHEELED CHARIOT"
"\D800\DCCD","\D800\DCCD","&#x100cd;","LINEAR B IDEOGRAM B241 CHARIOT"
"\D800\DCCE","\D800\DCCE","&#x100ce;","LINEAR B IDEOGRAM B242 CHARIOT FRAME"
"\D800\DCCF","\D800\DCCF","&#x100cf;","LINEAR B IDEOGRAM B243 WHEEL"
"\D800\DCD0","\D800\DCD0","&#x100d0;","LINEAR B IDEOGRAM B245"
"\D800\DCD1","\D800\DCD1","&#x100d1;","LINEAR B IDEOGRAM B246"
"\D800\DCD2","\D800\DCD2","&#x100d2;","LINEAR B MONOGRAM B247 DIPTE"
"\D800\DCD3","\D800\DCD3","&#x100d3;","LINEAR B IDEOGRAM B248"
"\D800\DCD4","\D800\DCD4","&#x100d4;","LINEAR B IDEOGRAM B249"
"\D800\DCD5","\D800\DCD5","&#x100d5;","LINEAR B IDEOGRAM B251"
"\D800\DCD6","\D800\DCD6","&#x100d6;","LINEAR B IDEOGRAM B252"
"\D800\DCD7","\D800\DCD7","&#x100d7;","LINEAR B IDEOGRAM B253"
"\D800\DCD8","\D800\DCD8","&#x100d8;","LINEAR B IDEOGRAM B254 DART"
"\D800\DCD9","\D800\DCD9","&#x100d9;","LINEAR B IDEOGRAM B255"
"\D800\DCDA","\D800\DCDA","&#x100da;","LINEAR B IDEOGRAM B256"
"\D800\DCDB","\D800\DCDB","&#x100db;","LINEAR B IDEOGRAM B257"
"\D800\DCDC","\D800\DCDC","&#x100dc;","LINEAR B IDEOGRAM B258"
"\D800\DCDD","\D800\DCDD","&#x100dd;","LINEAR B IDEOGRAM B259"
"\D800\DCDE","\D800\DCDE","&#x100de;","LINEAR B IDEOGRAM VESSEL B155"
"\D800\DCDF","\D800\DCDF","&#x100df;","LINEAR B IDEOGRAM VESSEL B200"
"\D800\DCE0","\D800\DCE0","&#x100e0;","LINEAR B IDEOGRAM VESSEL B201"
"\D800\DCE1","\D800\DCE1","&#x100e1;","LINEAR B IDEOGRAM VESSEL B202"
"\D800\DCE2","\D800\DCE2","&#x100e2;","LINEAR B IDEOGRAM VESSEL B203"
"\D800\DCE3","\D800\DCE3","&#x100e3;","LINEAR B IDEOGRAM VESSEL B204"
"\D800\DCE4","\D800\DCE4","&#x100e4;","LINEAR B IDEOGRAM VESSEL B205"
"\D800\DCE5","\D800\DCE5","&#x100e5;","LINEAR B IDEOGRAM VESSEL B206"
"\D800\DCE6","\D800\DCE6","&#x100e6;","LINEAR B IDEOGRAM VESSEL B207"
"\D800\DCE7","\D800\DCE7","&#x100e7;","LINEAR B IDEOGRAM VESSEL B208"
"\D800\DCE8","\D800\DCE8","&#x100e8;","LINEAR B IDEOGRAM VESSEL B209"
"\D800\DCE9","\D800\DCE9","&#x100e9;","LINEAR B IDEOGRAM VESSEL B210"
"\D800\DCEA","\D800\DCEA","&#x100ea;","LINEAR B IDEOGRAM VESSEL B211"
"\D800\DCEB","\D800\DCEB","&#x100eb;","LINEAR B IDEOGRAM VESSEL B212"
"\D800\DCEC","\D800\DCEC","&#x100ec;","LINEAR B IDEOGRAM VESSEL B213"
"\D800\DCED","\D800\DCED","&#x100ed;","LINEAR B IDEOGRAM VESSEL B214"
"\D800\DCEE","\D800\DCEE","&#x100ee;","LINEAR B IDEOGRAM VESSEL B215"
"\D800\DCEF","\D800\DCEF","&#x100ef;","LINEAR B IDEOGRAM VESSEL B216"
"\D800\DCF0","\D800\DCF0","&#x100f0;","LINEAR B IDEOGRAM VESSEL B217"
"\D800\DCF1","\D800\DCF1","&#x100f1;","LINEAR B IDEOGRAM VESSEL B218"
"\D800\DCF2","\D800\DCF2","&#x100f2;","LINEAR B IDEOGRAM VESSEL B219"
"\D800\DCF3","\D800\DCF3","&#x100f3;","LINEAR B IDEOGRAM VESSEL B221"
"\D800\DCF4","\D800\DCF4","&#x100f4;","LINEAR B IDEOGRAM VESSEL B222"
"\D800\DCF5","\D800\DCF5","&#x100f5;","LINEAR B IDEOGRAM VESSEL B226"
"\D800\DCF6","\D800\DCF6","&#x100f6;","LINEAR B IDEOGRAM VESSEL B227"
"\D800\DCF7","\D800\DCF7","&#x100f7;","LINEAR B IDEOGRAM VESSEL B228"
"\D800\DCF8","\D800\DCF8","&#x100f8;","LINEAR B IDEOGRAM VESSEL B229"
"\D800\DCF9","\D800\DCF9","&#x100f9;","LINEAR B IDEOGRAM VESSEL B250"
"\D800\DCFA","\D800\DCFA","&#x100fa;","LINEAR B IDEOGRAM VESSEL B305"
"\D800\DD00","\D800\DD00","&#x10100;","AEGEAN WORD SEPARATOR LINE"
"\D800\DD01","\D800\DD01","&#x10101;","AEGEAN WORD SEPARATOR DOT"
"\D800\DD02","\D800\DD02","&#x10102;","AEGEAN CHECK MARK"
"\D800\DD07","\D800\DD07","&#x10107;","AEGEAN NUMBER ONE"
"\D800\DD08","\D800\DD08","&#x10108;","AEGEAN NUMBER TWO"
"\D800\DD09","\D800\DD09","&#x10109;","AEGEAN NUMBER THREE"
"\D800\DD0A","\D800\DD0A","&#x1010a;","AEGEAN NUMBER FOUR"
"\D800\DD0B","\D800\DD0B","&#x1010b;","AEGEAN NUMBER FIVE"
"\D800\DD0C","\D800\DD0C","&#x1010c;","AEGEAN NUMBER SIX"
"\D800\DD0D","\D800\DD0D","&#x1010d;","AEGEAN NUMBER SEVEN"
"\D800\DD0E","\D800\DD0E","&#x1010e;","AEGEAN NUMBER EIGHT"
"\D800\DD0F","\D800\DD0F","&#x1010f;","AEGEAN NUMBER NINE"
"\D800\DD10","\D800\DD10","&#x10110;","AEGEAN NUMBER TEN"
"\D800\DD11","\D800\DD11","&#x10111;","AEGEAN NUMBER TWENTY"
"\D800\DD12","\D800\DD12","&#x10112;","AEGEAN NUMBER THIRTY"
"\D800\DD13","\D800\DD13","&#x10113;","AEGEAN NUMBER FORTY"
"\D800\DD14","\D800\DD14","&#x10114;","AEGEAN NUMBER FIFTY"
"\D800\DD15","\D800\DD15","&#x10115;","AEGEAN NUMBER SIXTY"
"\D800\DD16","\D800\DD16","&#x10116;","AEGEAN NUMBER SEVENTY"
"\D800\DD17","\D800\DD17","&#x10117;","AEGEAN NUMBER EIGHTY"
"\D800\DD18","\D800\DD18","&#x10118;","AEGEAN NUMBER NINETY"
"\D800\DD19","\D800\DD19","&#x10119;","AEGEAN NUMBER ONE HUNDRED"
"\D800\DD1A","\D800\DD1A","&#x1011a;","AEGEAN NUMBER TWO HUNDRED"
"\D800\DD1B","\D800\DD1B","&#x1011b;","AEGEAN NUMBER THREE HUNDRED"
"\D800\DD1C","\D800\DD1C","&#x1011c;","AEGEAN NUMBER FOUR HUNDRED"
"\D800\DD1D","\D800\DD1D","&#x1011d;","AEGEAN NUMBER FIVE HUNDRED"
"\D800\DD1E","\D800\DD1E","&#x1011e;","AEGEAN NUMBER SIX HUNDRED"
"\D800\DD1F","\D800\DD1F","&#x1011f;","AEGEAN NUMBER SEVEN HUNDRED"
"\D800\DD20","\D800\DD20","&#x10120;","AEGEAN NUMBER EIGHT HUNDRED"
"\D800\DD21","\D800\DD21","&#x10121;","AEGEAN NUMBER NINE HUNDRED"
"\D800\DD22","\D800\DD22","&#x10122;","AEGEAN NUMBER ONE THOUSAND"
"\D800\DD23","\D800\DD23","&#x10123;","AEGEAN NUMBER TWO THOUSAND"
"\D800\DD24","\D800\DD24","&#x10124;","AEGEAN NUMBER THREE THOUSAND"
"\D800\DD25","\D800\DD25","&#x10125;","AEGEAN NUMBER FOUR THOUSAND"
"\D800\DD26","\D800\DD26","&#x10126;","AEGEAN NUMBER FIVE THOUSAND"
"\D800\DD27","\D800\DD27","&#x10127;","AEGEAN NUMBER SIX THOUSAND"
"\D800\DD28","\D800\DD28","&#x10128;","AEGEAN NUMBER SEVEN THOUSAND"
"\D800\DD29","\D800\DD29","&#x10129;","AEGEAN NUMBER EIGHT THOUSAND"
"\D800\DD2A","\D800\DD2A","&#x1012a;","AEGEAN NUMBER NINE THOUSAND"
"\D800\DD2B","\D800\DD2B","&#x1012b;","AEGEAN NUMBER TEN THOUSAND"
"\D800\DD2C","\D800\DD2C","&#x1012c;","AEGEAN NUMBER TWENTY THOUSAND"
"\D800\DD2D","\D800\DD2D","&#x1012d;","AEGEAN NUMBER THIRTY THOUSAND"
"\D800\DD2E","\D800\DD2E","&#x1012e;","AEGEAN NUMBER FORTY THOUSAND"
"\D800\DD2F","\D800\DD2F","&#x1012f;","AEGEAN NUMBER FIFTY THOUSAND"
"\D800\DD30","\D800\DD30","&#x10130;","AEGEAN NUMBER SIXTY THOUSAND"
"\D800\DD31","\D800\DD31","&#x10131;","AEGEAN NUMBER SEVENTY THOUSAND"
"\D800\DD32","\D800\DD32","&#x10132;","AEGEAN NUMBER EIGHTY THOUSAND"
"\D800\DD33","\D800\DD33","&#x10133;","AEGEAN NUMBER NINETY THOUSAND"
"\D800\DD37","\D800\DD37","&#x10137;","AEGEAN WEIGHT BASE UNIT"
"\D800\DD38","\D800\DD38","&#x10138;","AEGEAN WEIGHT FIRST SUBUNIT"
"\D800\DD39","\D800\DD39","&#x10139;","AEGEAN WEIGHT SECOND SUBUNIT"
"\D800\DD3A","\D800\DD3A","&#x1013a;","AEGEAN WEIGHT THIRD SUBUNIT"
"\D800\DD3B","\D800\DD3B","&#x1013b;","AEGEAN WEIGHT FOURTH SUBUNIT"
"\D800\DD3C","\D800\DD3C","&#x1013c;","AEGEAN DRY MEASURE FIRST SUBUNIT"
"\D800\DD3D","\D800\DD3D","&#x1013d;","AEGEAN LIQUID MEASURE FIRST SUBUNIT"
"\D800\DD3E","\D800\DD3E","&#x1013e;","AEGEAN MEASURE SECOND SUBUNIT"
"\D800\DD3F","\D800\DD3F","&#x1013f;","AEGEAN MEASURE THIRD SUBUNIT"
"\D800\DD40","\D800\DD40","&#x10140;","GREEK ACROPHONIC ATTIC ONE QUARTER"
"\D800\DD41","\D800\DD41","&#x10141;","GREEK ACROPHONIC ATTIC ONE HALF"
"\D800\DD42","\D800\DD42","&#x10142;","GREEK ACROPHONIC ATTIC ONE DRACHMA"
"\D800\DD43","\D800\DD43","&#x10143;","GREEK ACROPHONIC ATTIC FIVE"
"\D800\DD44","\D800\DD44","&#x10144;","GREEK ACROPHONIC ATTIC FIFTY"
"\D800\DD45","\D800\DD45","&#x10145;","GREEK ACROPHONIC ATTIC FIVE HUNDRED"
"\D800\DD46","\D800\DD46","&#x10146;","GREEK ACROPHONIC ATTIC FIVE THOUSAND"
"\D800\DD47","\D800\DD47","&#x10147;","GREEK ACROPHONIC ATTIC FIFTY THOUSAND"
"\D800\DD48","\D800\DD48","&#x10148;","GREEK ACROPHONIC ATTIC FIVE TALENTS"
"\D800\DD49","\D800\DD49","&#x10149;","GREEK ACROPHONIC ATTIC TEN TALENTS"
"\D800\DD4A","\D800\DD4A","&#x1014a;","GREEK ACROPHONIC ATTIC FIFTY TALENTS"
"\D800\DD4B","\D800\DD4B","&#x1014b;","GREEK ACROPHONIC ATTIC ONE HUNDRED TALENTS"
"\D800\DD4C","\D800\DD4C","&#x1014c;","GREEK ACROPHONIC ATTIC FIVE HUNDRED TALENTS"
"\D800\DD4D","\D800\DD4D","&#x1014d;","GREEK ACROPHONIC ATTIC ONE THOUSAND TALENTS"
"\D800\DD4E","\D800\DD4E","&#x1014e;","GREEK ACROPHONIC ATTIC FIVE THOUSAND TALENTS"
"\D800\DD4F","\D800\DD4F","&#x1014f;","GREEK ACROPHONIC ATTIC FIVE STATERS"
"\D800\DD50","\D800\DD50","&#x10150;","GREEK ACROPHONIC ATTIC TEN STATERS"
"\D800\DD51","\D800\DD51","&#x10151;","GREEK ACROPHONIC ATTIC FIFTY STATERS"
"\D800\DD52","\D800\DD52","&#x10152;","GREEK ACROPHONIC ATTIC ONE HUNDRED STATERS"
"\D800\DD53","\D800\DD53","&#x10153;","GREEK ACROPHONIC ATTIC FIVE HUNDRED STATERS"
"\D800\DD54","\D800\DD54","&#x10154;","GREEK ACROPHONIC ATTIC ONE THOUSAND STATERS"
"\D800\DD55","\D800\DD55","&#x10155;","GREEK ACROPHONIC ATTIC TEN THOUSAND STATERS"
"\D800\DD56","\D800\DD56","&#x10156;","GREEK ACROPHONIC ATTIC FIFTY THOUSAND STATERS"
"\D800\DD57","\D800\DD57","&#x10157;","GREEK ACROPHONIC ATTIC TEN MNAS"
"\D800\DD58","\D800\DD58","&#x10158;","GREEK ACROPHONIC HERAEUM ONE PLETHRON"
"\D800\DD59","\D800\DD59","&#x10159;","GREEK ACROPHONIC THESPIAN ONE"
"\D800\DD5A","\D800\DD5A","&#x1015a;","GREEK ACROPHONIC HERMIONIAN ONE"
"\D800\DD5B","\D800\DD5B","&#x1015b;","GREEK ACROPHONIC EPIDAUREAN TWO"
